Date,Text_Score,Sentence_Score,Net_Score,Political_Contestent,News_Agency
10/3/2015,0.870967742,1.036507937,0.165540195,Hillary Clinton,New York Times
10/4/2015,0.545454545,-0.115740741,-0.661195286,Hillary Clinton,New York Times
10/5/2015,0.523809524,0.411764706,0.112044818,Hillary Clinton,New York Times
10/5/2015,-0.458333333,-0.597222222,-0.138888889,Hillary Clinton,New York Times
10/6/2015,-0.714285714,0,0,Hillary Clinton,New York Times
10/9/2015,0.787878788,0.083333333,0.704545455,Hillary Clinton,New York Times
10/9/2015,0.28125,0.576923077,0.295673077,Hillary Clinton,New York Times
10/11/2015,0.454545455,0.729166667,0.274621212,Hillary Clinton,New York Times
10/12/2015,-0.785714286,-0.1,-0.685714286,Hillary Clinton,New York Times
10/14/2015,0.666666667,-0.047619048,-0.714285714,Hillary Clinton,New York Times
10/14/2015,0.014492754,0.048717949,0.034225195,Hillary Clinton,New York Times
10/14/2015,0.246153846,0.173333333,0.072820513,Hillary Clinton,New York Times
10/15/2015,0.025641026,1.21875,1.193108974,Hillary Clinton,New York Times
10/15/2015,0.355555556,0.349773243,0.005782313,Hillary Clinton,New York Times
10/16/2015,0.333333333,0.608333333,0.275,Hillary Clinton,New York Times
10/18/2015,-0.512195122,-0.503571429,-0.008623693,Hillary Clinton,New York Times
10/19/2015,-0.454545455,-0.742424242,-0.287878788,Hillary Clinton,New York Times
10/22/2015,0.352941176,0.132352941,0.220588235,Hillary Clinton,New York Times
10/22/2015,0,-0.764285714,-0.764285714,Hillary Clinton,New York Times
10/22/2015,0.378378378,0.672222222,0.293843844,Hillary Clinton,New York Times
10/23/2015,-0.25,-0.685185185,-0.435185185,Hillary Clinton,New York Times
10/23/2015,-0.6,-0.647619048,-0.047619048,Hillary Clinton,New York Times
10/23/2015,1.086206897,1.103448276,0.017241379,Hillary Clinton,New York Times
10/23/2015,-0.108108108,-0.049333333,-0.058774775,Hillary Clinton,New York Times
10/24/2015,1.071428571,0.325,0.746428571,Hillary Clinton,New York Times
10/25/2015,0.58974359,0.132352941,0.457390649,Hillary Clinton,New York Times
10/26/2015,-0.129032258,-0.1,-0.029032258,Hillary Clinton,New York Times
10/31/2015,0.71875,1.222222222,0.503472222,Hillary Clinton,New York Times
11/1/2015,0.722222222,-0.107142857,-0.829365079,Hillary Clinton,New York Times
11/16/2015,0,-0.916666667,-0.916666667,Hillary Clinton,New York Times
11/17/2015,-0.611111111,-1,-0.388888889,Hillary Clinton,New York Times
11/18/2015,-0.135135135,-0.356666667,-0.221531532,Hillary Clinton,New York Times
11/19/2015,0.75,0.833333333,0.083333333,Hillary Clinton,New York Times
11/20/2015,-0.209302326,0.464285714,0.67358804,Hillary Clinton,New York Times
11/20/2015,-0.509803922,-0.073015873,-0.436788049,Hillary Clinton,New York Times
11/22/2015,-0.396825397,-0.126666667,-0.27015873,Hillary Clinton,New York Times
11/24/2015,0.509803922,0.246666667,0.263137255,Hillary Clinton,New York Times
3/10/2015,0,0,0,Hillary Clinton,New York Times
5/16/2015,0.5,0.5,0,Hillary Clinton,New York Times
5/19/2015,-2,-2,0,Hillary Clinton,New York Times
6/21/2015,-2,-2,0,Republicans,New York Times
6/21/2015,0,0,0,Republicans,New York Times
3/17/2015,0,0,0,Republicans,New York Times
3/9/2015,2,2,0,Republicans,New York Times
11/21/2015,-0.054054054,-0.333333333,-0.279279279,Republicans,New York Times
11/19/2015,0.189189189,-0.116666667,-0.305855856,Republicans,New York Times
11/17/2015,0,-0.333333333,-0.333333333,Republicans,New York Times
11/15/2015,-0.070175439,0.257575758,0.327751196,Republicans,New York Times
11/14/2015,1.6875,1,0.6875,Republicans,New York Times
11/13/2015,0.4,0.25,0.15,Republicans,New York Times
11/13/2015,-0.032258065,-0.2,-0.167741935,Republicans,New York Times
11/12/2015,1.333333333,-1,-2.333333333,Republicans,New York Times
11/11/2015,0.108108108,0.355555556,0.247447447,Republicans,New York Times
11/4/2015,0.260869565,0.691176471,0.430306905,Republicans,New York Times
11/4/2015,0.842105263,0.784313725,0.057791538,Republicans,New York Times
11/2/2015,0.344827586,0.261904762,0.082922824,Republicans,New York Times
